Brand,Series,Variant,RAM(GB),Storage(GB),Platform,Condition,Battery(mAh),Camera(MP),Release Year,Reviews,Ratings,Price(₹)
OnePlus,OnePlus 10,Pro Max,6,64,Amazon,Like New,5200,48,2023,9078,4.4,72643
Realme,GT Neo 3,T,6,64,Official Store,Good,4500,64,2024,523,3.5,27463
OnePlus,X2,Plus,12,256,Tata Cliq,Refurbished,4000,200,2024,6493,4.7,37000
Vivo,V40,Plus,12,256,Reliance Digital,Like New,4000,108,2024,4269,4.1,46265
Samsung,A25,T,12,64,Official Store,Refurbished,4500,48,2024,8516,4.3,20576
Vivo,V50,Pro Max,6,128,Official Store,Like New,5000,200,2021,4441,4.2,65232
Motorola,G31,Ultra,8,64,Flipkart,Good,6000,108,2022,9073,4.6,18017
Vivo,V30,Neo,6,256,Flipkart,Used,5200,12,2021,3376,3.6,34900
Samsung,S24,Ultra,12,512,Flipkart,Refurbished,6000,108,2024,2170,4.8,75000
Apple,i14,FE,6,128,Croma,Used,6000,200,2021,8632,4.5,61000
Nothing,Phone 2,Plus,6,256,Amazon,Like New,4000,64,2022,6194,4.2,38733
Xiaomi,Redmi Note 13,FE,6,256,Reliance Digital,Used,5200,108,2024,3193,3.5,14800
Xiaomi,Redmi Note 12,T,4,256,Flipkart,Good,5200,108,2024,541,3.9,14623
Samsung,S24,X,12,128,Offline Store,Good,4500,200,2023,7234,4.9,60994
Samsung,S25,Base,12,512,Official Store,Like New,6000,200,2023,9060,3.9,80000
Oppo,Reno 8,FE,12,512,Croma,Good,6000,48,2022,4883,3.8,28000
Nothing,Phone 1,Ultra,12,256,Offline Store,Like New,4500,200,2021,1979,4.2,40850
Samsung,F22,FE,4,64,Amazon,Refurbished,4500,200,2024,8398,4.2,116000
Samsung,M14,Neo,8,128,Croma,Like New,4000,12,2025,662,4.2,14067
Nothing,Phone 1,Lite,4,256,Flipkart,Like New,5500,64,2023,6933,4.8,30648
OnePlus,T10,T,4,512,Official Store,Used,6000,48,2022,7228,4.7,57500
Vivo,V60,Ultra,12,64,Offline Store,Like New,4000,12,2022,3736,4.9,72738
Google,Pixel 6,Pro,8,512,Reliance Digital,Refurbished,4500,12,2021,9621,4.4,55750
Google,Pixel 10,X,8,256,Offline Store,Good,6000,200,2023,2047,3.8,97700
Oppo,Reno 11,Plus,4,128,Tata Cliq,Like New,5500,200,2022,8256,3.9,42664
Oppo,Reno 9,Neo,8,512,Tata Cliq,Refurbished,5200,64,2021,8547,5,28600
Apple,i11,Neo,6,64,Croma,Used,4500,200,2025,4223,4.5,26500
Samsung,F22,T,12,512,Amazon,Good,5500,200,2025,6634,4.3,132500
Vivo,V30,FE,6,64,Tata Cliq,Refurbished,4500,12,2023,8831,4.9,38272
Samsung,S21,Lite,8,128,Official Store,Used,5200,12,2023,7878,4.9,31750
Samsung,S21,X,8,64,Tata Cliq,Like New,4500,12,2022,5154,4.1,42614
Realme,GT 2,Pro,4,256,Official Store,Used,5200,48,2022,1633,4.8,23659
Samsung,S24,Ultra,12,512,Official Store,Refurbished,5500,48,2024,555,4.3,75000
Realme,GT Neo 3,Pro,8,256,Tata Cliq,Good,6000,64,2024,9065,4.4,29052
Samsung,F23,Ultra,8,256,Amazon,Used,6000,64,2023,7876,4.8,179000
Vivo,V27,Pro,6,256,Flipkart,Like New,4000,108,2025,5562,3.8,37521
Samsung,S22,T,4,64,Flipkart,Used,5200,108,2025,3612,4.6,45000
Oppo,Find X5,FE,6,128,Amazon,Refurbished,5500,64,2025,8363,4.5,72000
Samsung,Y30,Lite,8,64,Tata Cliq,Used,6000,200,2021,2487,4.7,15233
Google,Pixel 10,Base,6,128,Reliance Digital,Good,6000,48,2024,6717,3.8,74000
OnePlus,OnePlus 11,Pro,6,512,Tata Cliq,Refurbished,5000,200,2021,3146,4.1,62500
Google,Pixel 7,Pro,4,512,Amazon,Like New,5200,64,2022,1019,4.2,63970
Samsung,A55,Lite,12,512,Amazon,Good,4000,12,2025,6782,4.4,29596
Motorola,G71,Ultra,6,128,Reliance Digital,Like New,5200,48,2023,8944,4.6,28433
Samsung,M14,Base,4,128,Official Store,Good,5500,48,2023,9960,4.7,15036
Apple,i14,Neo,6,64,Offline Store,Good,5000,48,2021,1537,4.8,59477
OnePlus,OnePlus 10,Base,12,256,Offline Store,Good,5500,12,2024,4035,4.8,43000
Apple,i16,X,6,64,Tata Cliq,Good,4500,64,2023,5968,4.6,84700
Vivo,V50,Pro Max,8,512,Tata Cliq,Refurbished,4500,64,2022,1699,3.6,64750
OnePlus,OnePlus 11,Neo,6,64,Amazon,Good,4500,12,2023,8235,4.7,48010
Samsung,S23,Ultra,8,256,Offline Store,Like New,6000,200,2022,331,3.7,70828
Realme,GT 2,Lite,12,256,Official Store,Like New,5200,108,2024,3542,3.6,17571
Motorola,Edge 40,Ultra,8,512,Offline Store,Like New,5000,64,2024,9510,4.6,47592
Apple,i16,Base,12,256,Offline Store,Used,5500,64,2023,7864,3.9,64000
Samsung,Z24,Pro,8,64,Amazon,Like New,5000,200,2024,9519,4.7,157000
OnePlus,OnePlus 9,Pro Max,4,128,Flipkart,Refurbished,5500,12,2022,2715,3.7,60100
Apple,i15,FE,8,128,Official Store,Refurbished,4000,64,2024,7000,4.9,50000
Samsung,A15,Base,6,128,Offline Store,Refurbished,6000,12,2024,3987,4,12937
Apple,i12,Neo,4,512,Croma,Refurbished,4000,64,2025,9827,3.6,37000
Oppo,Reno 10,Base,12,64,Tata Cliq,Used,4500,64,2024,3022,4.5,30792
Oppo,Find X5,X,8,128,Offline Store,Used,5000,48,2022,7541,4.3,86000
Samsung,F22,Plus,8,256,Tata Cliq,Refurbished,4000,48,2024,57,4,127000
Oppo,Reno 11,Ultra,12,64,Reliance Digital,Used,6000,108,2023,5988,4.3,55800
Samsung,S23,X,6,64,Tata Cliq,Like New,4500,12,2023,2240,4.9,54378
OnePlus,X2,T,8,512,Reliance Digital,Like New,6000,12,2025,5674,4.3,40778
Motorola,G31,T,12,512,Official Store,Used,5200,200,2022,7704,4.7,11705
Vivo,V27,Pro,8,64,Flipkart,Good,4500,64,2023,7440,3.6,39029
Samsung,A35,Lite,8,256,Offline Store,Refurbished,4000,12,2024,7253,3.6,20200
Apple,i17,FE,8,64,Official Store,Used,5200,64,2023,4079,4.7,154500
Google,Pixel 9,X,12,256,Offline Store,Good,5200,48,2023,6418,4.7,84700
Samsung,F22,Lite,6,128,Tata Cliq,Like New,5500,108,2025,3921,4.5,110500
Samsung,S25,Pro Max,6,64,Official Store,Like New,4500,12,2021,3798,4.9,126750
OnePlus,OnePlus 9,Ultra,4,128,Reliance Digital,Used,4000,48,2023,8398,4.9,62200
Samsung,F23,Pro Max,12,64,Croma,Like New,4500,48,2024,1605,4.1,173250
Samsung,A15,Plus,6,64,Amazon,Good,5200,108,2025,3027,4.7,15733
OnePlus,X,Lite,4,512,Official Store,Used,4500,48,2025,8473,3.6,27904
OnePlus,OnePlus 11,FE,4,128,Tata Cliq,Refurbished,5200,108,2025,5341,3.9,50000
Realme,GT 2,T,4,64,Flipkart,Good,6000,200,2023,7811,4.2,22934
Motorola,Edge 40,Plus,4,64,Official Store,Refurbished,4500,64,2022,4520,4.3,31000
Xiaomi,Redmi Note 12,Pro,8,512,Amazon,Like New,5200,64,2023,7679,5,21896
Apple,i13,FE,8,64,Tata Cliq,Refurbished,5000,64,2024,7531,3.9,50000
Apple,i14,Ultra,8,512,Official Store,Like New,5200,200,2022,6255,4.5,93207
Samsung,Y15,Pro,8,128,Offline Store,Used,6000,64,2025,4717,4.3,11200
Apple,i11,Ultra,6,128,Official Store,Good,5200,108,2024,5026,4.5,45641
Xiaomi,Redmi Note 13,FE,12,256,Official Store,Good,5200,108,2023,4553,3.6,15511
Vivo,V30,FE,8,128,Croma,Good,5000,64,2022,655,4.7,36888
OnePlus,X2,Neo,4,128,Amazon,Good,5200,64,2024,5130,4.3,31750
Motorola,G71,Pro,8,256,Croma,Good,4000,64,2025,396,3.9,24214
Samsung,M14,FE,8,512,Offline Store,Used,4000,12,2025,1831,4.3,12953
Samsung,A35,Plus,12,512,Tata Cliq,Good,5200,48,2025,7378,4.2,26633
OnePlus,OnePlus 12,Pro Max,6,128,Reliance Digital,Refurbished,4500,48,2022,3543,4.8,95750
Oppo,Reno 8,Neo,12,128,Amazon,Refurbished,4500,108,2023,5915,4.8,29539
Samsung,S21,Lite,8,128,Tata Cliq,Refurbished,4000,64,2021,6354,4.8,31750
Samsung,S21,Neo,8,128,Official Store,Good,4000,200,2025,7640,3.7,31750
Vivo,V40,Neo,6,256,Official Store,Used,4000,48,2022,4918,3.9,39100
OnePlus,T8,Plus,12,512,Reliance Digital,Like New,5500,64,2024,7045,4.8,45822
Apple,i17,X,6,256,Offline Store,Used,6000,108,2022,4146,4.9,183500
OnePlus,T9,Pro Max,4,64,Croma,Used,5200,64,2024,3692,3.8,64750
Samsung,A35,Lite,4,128,Reliance Digital,Good,5000,12,2021,196,3.7,21925
Realme,GT Neo 3,T,4,128,Official Store,Good,5000,64,2023,7031,4.3,26250
Vivo,V40,FE,12,128,Tata Cliq,Good,4000,108,2021,2833,4.5,41200
Samsung,F23,Base,12,256,Offline Store,Refurbished,5000,48,2021,5183,4.5,110000
Samsung,A25,Lite,12,256,Croma,Like New,4500,48,2023,4775,4.2,20911
Samsung,F22,X,6,512,Reliance Digital,Used,5000,108,2025,5728,4.4,138000
Apple,i14,X,8,128,Offline Store,Used,6000,12,2024,1303,4.8,73000
Xiaomi,Mi 13,Base,6,128,Flipkart,Used,4000,200,2022,5505,3.9,55000
Apple,i11,T,4,128,Reliance Digital,Good,4500,64,2024,2760,4.9,33235
Xiaomi,Mi 13,FE,6,256,Amazon,Used,5000,64,2022,9228,4.8,61000
Samsung,F23,Lite,8,256,Amazon,Like New,4000,200,2022,4861,3.8,115750
Vivo,V60,Lite,6,128,Offline Store,Like New,4500,48,2025,3681,4.2,47182
Samsung,A25,Lite,8,256,Flipkart,Like New,5500,200,2022,2537,4,20807
OnePlus,OnePlus 9,X,8,512,Offline Store,Like New,5000,12,2024,1663,4.7,53339
Xiaomi,Redmi Note 13,X,6,64,Official Store,Like New,5200,64,2022,2049,4,22745
Vivo,V50,T,8,256,Tata Cliq,Used,5200,48,2023,1783,4.9,51250
Samsung,A75,Pro Max,8,256,Official Store,Like New,5500,12,2025,8366,3.6,64750
Poco,X4,Pro Max,8,256,Reliance Digital,Refurbished,4500,12,2022,9409,3.7,19438
Samsung,Z23,FE,6,512,Offline Store,Used,5500,108,2024,3469,4.7,118200
Vivo,V25,Base,12,64,Tata Cliq,Used,5000,48,2021,5282,3.8,20000
Apple,i16,T,8,512,Amazon,Like New,6000,64,2023,9781,3.8,81250
Samsung,M34,Pro Max,8,128,Reliance Digital,Refurbished,6000,48,2023,835,4.9,24448
Google,Pixel 8,Pro,8,256,Reliance Digital,Like New,4500,200,2022,4097,4.9,74650
Vivo,V40,Neo,12,64,Offline Store,Like New,5500,12,2023,5965,4.1,43602
Apple,i14,Plus,4,512,Official Store,Used,6000,48,2023,8974,4.4,67000
Samsung,Y30,Plus,4,64,Flipkart,Good,6000,108,2022,9286,4.8,20893
Samsung,Y20,Ultra,4,512,Croma,Good,6000,12,2023,6363,4.6,19055
OnePlus,OnePlus 9,Neo,6,512,Amazon,Refurbished,6000,200,2024,7038,4.2,39100
Realme,GT 2,Neo,6,128,Tata Cliq,Like New,5000,108,2023,3838,4.9,17710
Motorola,Edge 40,Ultra,6,512,Flipkart,Used,4500,200,2021,9663,4.4,43000
Samsung,S23,Plus,8,512,Official Store,Like New,5200,200,2024,2737,3.5,52427
Google,Pixel 10,Plus,8,128,Tata Cliq,Refurbished,5200,200,2024,2039,4.3,89800
Vivo,V60,Lite,6,256,Official Store,Good,5500,108,2025,1261,4.5,44350
Samsung,F23,Lite,12,128,Tata Cliq,Used,4500,48,2022,8123,4.2,115750
Poco,X4,Lite,8,512,Offline Store,Used,4500,12,2022,9650,4,10750
Xiaomi,Mi 13,Neo,4,128,Croma,Refurbished,4000,64,2023,6047,3.8,58000
Google,Pixel 9,X,12,256,Offline Store,Good,4000,200,2023,2362,3.9,84700
Apple,i14,Plus,6,512,Croma,Used,5500,12,2021,1743,4.8,67000
Samsung,A35,Plus,6,64,Offline Store,Refurbished,4000,108,2025,5121,4.7,26274
Vivo,V40,T,4,64,Croma,Good,4500,64,2022,3956,5,47500
Oppo,Reno 9,Neo,8,64,Croma,Good,4500,48,2022,9670,4.4,31010
Google,Pixel 10,Pro Max,6,256,Croma,Used,4500,48,2025,6617,4.9,117450
Google,Pixel 8,X,12,128,Tata Cliq,Refurbished,5000,12,2024,8482,4.1,71700
Vivo,V60,T,12,128,Flipkart,Good,4500,108,2024,395,4.9,54021
Samsung,S22,Neo,4,256,Flipkart,Good,5000,108,2023,906,4.6,37000
OnePlus,OnePlus 8,FE,8,512,Flipkart,Like New,6000,48,2023,6018,5,39551
Apple,i11,Pro,12,512,Croma,Good,6000,64,2022,5338,4.8,39093
Vivo,V29,T,12,512,Offline Store,Refurbished,5000,12,2022,3228,4,38750
Vivo,V25,Base,6,256,Official Store,Refurbished,4000,12,2024,2301,4.8,21579
Google,Pixel 10,Neo,6,64,Tata Cliq,Refurbished,5500,200,2022,1097,4.5,77950
Xiaomi,Redmi Note 12,Plus,12,512,Croma,Used,5500,64,2021,6026,4.5,13604
Motorola,G71,Ultra,6,512,Reliance Digital,Like New,5500,64,2021,184,3.6,26542
OnePlus,T10,Pro,6,512,Flipkart,Good,5500,48,2025,2056,4.7,63684
Samsung,F22,Ultra,4,128,Flipkart,Like New,4500,12,2024,6535,4.7,171000
Apple,i14,Neo,6,256,Offline Store,Like New,6000,64,2025,5881,3.8,58142
Samsung,A35,Base,8,256,Reliance Digital,Like New,5200,12,2021,8133,4.4,22534
Apple,i17,Lite,8,64,Amazon,Like New,4000,48,2024,5805,4.7,147250
Motorola,G31,Pro Max,12,128,Flipkart,Used,5000,12,2024,9646,3.8,15693
Vivo,V40,Base,8,512,Amazon,Refurbished,6000,108,2025,8046,4.9,37000
Google,Pixel 8,Pro,4,128,Reliance Digital,Like New,4000,64,2021,8814,3.5,74650
Samsung,Z23,Lite,8,128,Offline Store,Refurbished,5200,12,2022,7227,3.7,112600
OnePlus,OnePlus 10,Lite,6,512,Croma,Like New,4000,200,2024,4990,3.8,48293
Motorola,Edge 40,X,12,64,Croma,Like New,5000,64,2022,4434,3.8,34224
Samsung,M54,Neo,6,128,Tata Cliq,Refurbished,6000,12,2023,7987,4.1,28951
Samsung,Y15,Lite,6,256,Croma,Refurbished,5000,200,2021,7471,3.7,7800
Samsung,Z23,Ultra,6,256,Offline Store,Used,5500,108,2024,394,4.6,174200
Apple,i12,X,12,256,Official Store,Used,4500,64,2024,3319,4.3,47000
OnePlus,OnePlus 11,Ultra,12,256,Official Store,Good,5200,48,2025,6633,4.4,75000
Apple,i14,Base,12,256,Official Store,Refurbished,4500,200,2023,4171,4.5,55000
Google,Pixel 7,Lite,4,128,Croma,Refurbished,5500,12,2021,7200,3.8,47500
Vivo,V40,X,12,256,Official Store,Refurbished,4000,64,2024,3958,4.8,49600
Apple,i13,Base,12,512,Amazon,Refurbished,6000,200,2022,7681,4.1,45000
Samsung,A55,T,4,512,Croma,Like New,5000,48,2023,7107,4.5,38719
Apple,i13,Neo,12,256,Official Store,Like New,4500,64,2023,4240,3.9,48070
OnePlus,OnePlus 8,Pro Max,12,512,Offline Store,Good,4500,64,2024,8947,4.7,54362
Xiaomi,Mi 13,Plus,12,64,Reliance Digital,Refurbished,6000,64,2024,8264,4.3,67000
Vivo,V29,X,12,256,Tata Cliq,Like New,5500,200,2024,1584,4.8,44938
Realme,GT 2,Pro Max,4,64,Tata Cliq,Good,4000,12,2025,8359,4.9,29277
Samsung,F24,Pro Max,6,128,Amazon,Like New,5500,64,2021,7192,4.1,188750
Samsung,Z24,Lite,8,256,Croma,Good,4500,48,2024,3005,4.4,121000
Google,Pixel 7,Ultra,12,64,Flipkart,Refurbished,5000,12,2022,8254,4.7,75000
Nothing,Phone 2,T,8,64,Tata Cliq,Good,5000,64,2022,7878,4.6,38750
Samsung,Z24,X,4,64,Amazon,Used,5200,48,2024,8054,3.6,151000
Samsung,A15,FE,6,512,Official Store,Refurbished,5500,12,2022,9455,5,13899
Vivo,V50,Neo,4,512,Tata Cliq,Refurbished,5500,64,2021,17,3.7,42250
Apple,i12,Lite,6,512,Reliance Digital,Refurbished,5200,200,2021,7067,3.8,37000
Samsung,Z24,Pro Max,6,64,Amazon,Refurbished,4500,64,2021,4643,4,181000
Motorola,Edge 40,Pro,12,512,Offline Store,Used,4000,64,2022,734,4.1,35500
Oppo,Reno 8,Ultra,4,64,Reliance Digital,Like New,5500,108,2023,891,4.3,47303
Samsung,M54,Lite,12,128,Croma,Used,5200,64,2024,204,4.3,26500
Apple,i12,Lite,8,512,Offline Store,Good,5000,108,2025,5954,4.5,37000
Vivo,V29,FE,12,512,Reliance Digital,Like New,6000,48,2021,9857,4.7,35152
Samsung,Z24,FE,12,128,Croma,Like New,4500,64,2022,7061,4.4,127000
Vivo,V27,FE,4,512,Tata Cliq,Used,5200,12,2025,1568,3.8,28000
OnePlus,T10,Ultra,8,512,Official Store,Refurbished,6000,200,2025,8971,4.5,75000
Apple,i17,Neo,6,512,Amazon,Like New,5000,108,2021,2981,4,147250
Poco,X4,Base,8,256,Official Store,Refurbished,4000,48,2021,679,4.6,13537
Samsung,M14,Pro Max,4,256,Croma,Refurbished,4500,48,2023,9802,4.5,18281
Samsung,M54,Lite,12,128,Amazon,Used,5500,200,2024,5565,3.9,26500
Samsung,Z23,Neo,4,512,Tata Cliq,Used,4000,108,2023,4553,4.2,112600
Vivo,V50,T,4,128,Tata Cliq,Used,4000,64,2025,1736,4.8,51250
Oppo,Reno 9,FE,6,128,Tata Cliq,Good,6000,12,2021,8194,3.9,30200
Oppo,Reno 8,Pro Max,4,256,Reliance Digital,Refurbished,6000,64,2024,9819,3.8,41500
OnePlus,OnePlus 12,Pro Max,4,64,Offline Store,Refurbished,5200,12,2022,5384,3.8,95750
Samsung,A55,Pro,12,128,Flipkart,Good,4500,108,2021,3814,4,41746
OnePlus,T9,Lite,8,64,Offline Store,Refurbished,5200,12,2025,6353,3.7,42250
OnePlus,OnePlus 11,Pro Max,4,128,Reliance Digital,Refurbished,5500,64,2023,7017,3.7,72500
Oppo,Find X5,Neo,8,128,Amazon,Used,5500,108,2024,8151,4.9,68500
Samsung,Z22,Neo,8,512,Offline Store,Good,4500,48,2025,1830,3.6,105250
Apple,i12,T,4,128,Amazon,Like New,4500,12,2022,2339,4.7,45737
Nothing,Phone 1,Plus,8,128,Offline Store,Good,4500,108,2025,2763,4.8,30998
Oppo,Reno 8,Plus,12,128,Tata Cliq,Used,5500,48,2025,7713,5,31000
Vivo,V40,Plus,6,256,Tata Cliq,Like New,5500,12,2024,2996,3.6,48331
Vivo,V27,FE,4,256,Tata Cliq,Used,5200,200,2024,2340,3.6,28000
Samsung,Z22,Ultra,12,512,Amazon,Like New,4500,64,2025,4758,3.5,163000
OnePlus,OnePlus 12,Pro,4,512,Reliance Digital,Good,4500,12,2025,8218,4.7,82750
Google,Pixel 10,Lite,6,512,Croma,Good,4500,64,2022,4910,4.9,77950
Vivo,V40,Ultra,8,128,Offline Store,Like New,5500,108,2025,4704,4,66539
Apple,i16,Pro Max,4,256,Reliance Digital,Good,4000,200,2024,3848,4.3,101950
OnePlus,T9,Ultra,12,64,Croma,Good,4000,200,2025,8544,4.4,67000
Samsung,F24,Neo,8,64,Official Store,Good,4000,108,2024,5778,3.6,126250
Oppo,Reno 10,Pro Max,12,128,Amazon,Refurbished,6000,200,2021,1205,4.8,49250
Samsung,A55,X,12,64,Tata Cliq,Refurbished,5500,108,2024,7232,3.9,36600
Motorola,G31,T,8,256,Official Store,Good,4000,200,2021,1654,4.6,11366
Samsung,S22,Base,8,128,Reliance Digital,Good,4500,48,2022,1777,3.8,36280
Vivo,V50,Ultra,4,256,Flipkart,Like New,5500,64,2021,9379,3.7,71132
Samsung,F23,T,8,64,Tata Cliq,Refurbished,6000,64,2023,9996,3.9,138750
Samsung,A35,Neo,8,256,Flipkart,Good,5500,64,2023,6962,4.9,24765
Vivo,V50,Lite,4,128,Tata Cliq,Good,5000,200,2022,4245,3.7,42250
Samsung,F22,Neo,6,128,Official Store,Refurbished,5500,200,2025,1547,4,110500
Google,Pixel 10,Pro Max,12,128,Offline Store,Refurbished,4500,200,2025,6130,4.8,117450
OnePlus,OnePlus 8,Pro,8,128,Reliance Digital,Used,4500,12,2024,1601,4.6,46300
Samsung,M34,T,6,512,Official Store,Good,4000,200,2025,5703,4.3,22907
Xiaomi,Redmi Note 13,T,4,256,Croma,Used,6000,200,2024,6954,3.5,18300
Google,Pixel 10,Pro,6,256,Official Store,Like New,4500,12,2023,169,4,101872
